FTITLE,FDESC,TYPE
佳期如梦 DVD版,本剧女主角尤佳期，大名广告公司业务经理，在一次新车推荐会上猝不及防地与初恋男友孟和平重逢。尘封已久的心骤起波澜，两人都发现对方在自己心中依然占据最重要的位置。然而和平的母亲肖云是横亘在两人之间一道不可逾越的冰峰。就在和平要违背母亲意愿与佳期再续前缘的时候，他最好的朋友阮正东却对佳期发动猛烈的爱情攻势，但他的攻势后面却深藏不可告人的秘密和深远的计划。阮正东的妹妹西子是电视台知名主持人，对孟和平芳心暗许，势利的肖云也希望和平能娶西子为妻，但和平心有所属，视西子为妹妹，令西子惆怅不已。因为业务关联，佳期不知不觉中与东子联络增多。被西子与和平误认为已经相恋。孟和平无法解开佳期心锁，又担心东子伤害佳期的感情，情绪低落通宵买醉，误将探望的西子当做佳期......,"生活,偶像,情感"
步步惊魂,女主角师嘉――左家坟社区医院护士，胆子大，喜欢整蛊搞怪，专业技能差，情绪化，感情幼稚，是典型的不靠谱的女生。爱幻想，丢三落四，扮淑女总是漏馅，扮猛女条件不够，关爱小动物和弱者，对患者很好，爱吃，爱减肥，更爱减肥后狂吃。在单位里总是搞不清状况，说话不着调，总是不知为什么就得罪了领导，还以为领导喜欢她。但见了帅哥紧张，消除紧张的方式就是跟帅哥作对甚至羞辱帅哥，完了就后悔。一个偶然的机会，她发现医院地下室尽头有一间神秘的病房，里面躺着一个活死人，据说已经失去意识和知觉长达十五年了，民间俗称这种人是“木僵人”，医学上叫植物人。师嘉与自称是照顾“木僵人”的护士结识，这位护士脖子上系着一条红纱巾，神情怪异。一次偶然，师嘉从护士站得知照顾“木僵人”的女护士五年前已经死了，是用绳子上吊而死，那么，跟师嘉说话的这个女护士到底是人还是鬼呢…… 　　男主角刘卫东――探长，一个扮相酷说话刻薄的颓警察。喜欢冷嘲热讽，除了局长外，其他：同事都不喜欢他。一天，他得知邦达公司董事长高敞于夜里心脏病突发死在办公室里，在现场，刘卫东觉得有一些疑点，死者面向窗外，表情惊恐，解剖显示是心肌梗塞而死，法医说有可能因为受惊吓导致心肌梗塞，刘卫东看窗外，这里是14层大楼，外面是城市美丽的夜景，高敞看见了什么可怖的事呢？死者死前伸出的四个手指让刘卫东感到疑惑…… 　　在死者高敞的追悼会上，刘卫东见到自己曾经神秘失踪的前女友方丽云。调查后得知方丽云要办一个规模空前的房地产项目，合作者就是死者高敞。与此同时，死者的三个生意合伙人也出现在追悼会上……,"犯罪,生活,偶像"
和平使命,2005年春月，正值中俄两军首次举行国际军演选择参演部队的关键时刻，G战区王牌部队铁军师正在接受鹰山实兵检验性演习。演习中铁军师兵败鹰山，暴露了八大问题。新任师长龙汉生带领铁军师全体官兵面对现实，克服重重困难，积极应对现代战争、思索未来战争，加紧训练，迅速由机械化作战向信息化作战部队转变，最终争取到了2005年中俄联合军事演习的光荣任务。 　　为了这次演习，全军上下全力以赴，演习区域的地方政府倾力配合，地方百姓不惜牺牲自己的利益，终于顺利完成了清障。最终中俄两国的海陆空三军在恶劣的气候条件下出色地完成了演习任务，表达了中国人民追求和平的美好愿望，向世界人民展示了我们捍卫和平的能力和信念。,"军旅,偶像"
义海风云,韦岸天，可能是世界上最成功的珍珠大王，他，拥有一切名利荣誉，可惜，却失去了一样东西：他只有向命运宣战，胜利的目的，竟然只是想做昔日的自己。自小岸天便对养珠甚有天份，和他志趣相投的是邻居洪大海，他们患难相扶，感情比亲兄弟还要深厚，但谁知道日后对他伤害最深的也是大海！命运第一次磨练岸天，初恋情人向丽云患上了血癌，为了令她安心地跟她的医生表哥世荣出外就医，岸天竟作出了一个残忍的决定，和她分手。,"生活,情感,偶像"
红苹果乐园,范姜太太和范姜先生曾经共同创办的红苹果乐园是一处令人向往的学生公寓，但是自从范姜先生去世后，红苹果乐园变得越来越神秘：首先是传说入住红苹果乐园的人都将被“爱情魔咒”笼罩；红苹果乐园有一间阁楼被视为禁地不许踏入；红苹果乐园拒绝收留女生。最初住在红苹果乐园的是5个阳光的大男孩——热爱音乐的天野、酷爱运动的可豪，还有子衡、先勇和咚咚。直至女孩萧晴也入住红苹果乐园，接二连三揭开这里的秘密，并给五个男孩的生活带来了不同，六个人的关系悄然发生着变化……,"偶像,情感"
我们俩的婚姻,新世纪初，北方某大城市。 　 　 “我们俩”结识于一部掉在影剧院座位下面的新款手机…… 　 　 年近三十的博物馆研究人员秦岩毕业多年尚未结婚，在电视台工作的夏小宁正处在一次恋爱长跑的疲惫期，手机仿佛向两人暗示着某种生活的玄机，在兴奋与焦灼中，两人迅速走近，爱情来得突然又似乎在情理之中。 　　像绝大多数爱情一样，这桩爱情要想修得正果，必然进入婚姻之城。 　　结婚前夜，秦岩得知夏小宁心中一直存在另一个男人；而秦家的一场家庭冲突，也让夏小宁初次领教了秦岩母亲在儿女面前异乎寻常的威严与分量。风波由此自四面八方接踵而至又平行交错：夫妻之间、婆媳之间、夫妻与两家亲人之间、夫妻与朋友之间、生活与事业之间…… 　 　 两个人的人品、素养、心胸，两个人毫不自察的秉性，两个人于有意无意中隐藏在灵魂深处的自我，在婚后的无数次“事件”中，呈现着也裸露着，同时接受着考验、质疑与锤炼。,"生活,情感,偶像"
幸福陷阱,吴侗是中江市财校的一名普通教师，地道的工薪阶层，日子过得平平淡淡。  　　岳父大人的生日到了，吴侗特地请假出来，到菜场买菜，到食品店订做生日蛋糕。在菜场里，吴侗手里的生日蛋糕却被让人追赶的一个男孩儿撞飞了。吴侗气急败坏，追上去把男孩儿逮住，扭送了派出所。吴侗万没想到，被他扭送进派出所的男孩儿竟然是陶楚的儿子。陶楚是吴侗的中学同学，嫁给了一个近乎无赖的男人，离了婚还下了岗，生活拮据。看着哭哭啼啼的陶楚，吴侗下决心一定要把她儿子从派出所给弄出来。  　　吴侗费尽了气力，也没能把陶楚的儿子从派出所弄出来，因此备感人微言轻，自惭形秽。恰在此时，已经成为本市最大企来泰丰集团副总的王梅约吴侗吃饭，请吴侗去泰丰任总会计师一职，吴侗当即答应，认为天下掉下个大馅饼。当了总会计师的吴侗由企业给配了轿车，又有年薪十万的收入……吴侗觉得自己一下子发生了天翻地覆的变化。吴侗在泰丰发现，自己过去的学生许点点也在这里工作。一下子，与吴侗有关的女人接二连三的出现在他身旁，老婆双樱不放心吴侗，同事支招，要双樱每天逼着吴侗“交公粮”——即夫妻每天过性生活，累得他没精力没气力想别的女人。,"偶像,情感"
走过路过莫错过,《走过路过莫错过》根据湘籍作家何顿的小说《就那么回事》改编，以侯清清、侯菲菲两个姐妹花、和七个男人的情感故事为主线，讲述一个死了都要爱的感人故事。片中的女一号侯清清由中央戏剧学院表演系大二学生孙琳扮演，男一号林南俊则由绝对男人总冠军邵桐出演。此外，亚丽、宋虎等湖南经视的著名主持人和艺员，以及众多湖南本土的演员也都加盟演出。  　　三十岁的候清清终于摆脱了8年前强奸她而成为她丈夫的“恶棍阔少”李志斌，拿到离婚证书，回家的路上却被小偷偷走手袋……  　　当地“小混混”林南俊对美丽可爱的候清清一见钟情，并与兄弟们打赌要泡上候清清。林南俊为了帮清清追回手袋而得罪了小偷帮……  　　表面玩世不恭、桀骜不驯的林南俊对朋友有情有义，对母亲孝感动天；然而，为了生存，他混迹江湖，带着三个弟兄过着打打杀杀的日子。遇到侯清清后，他青涩的情感开始有了变化，这段不为世人所接受的姐弟恋从一开始就没有他人的祝福，两个看起来根本就不可能一起的人相爱了……  　　林南俊默默背负侯林两家的世仇，以一个男人坚毅的肩膀为侯清清挡风遮雨，赢得了侯清清的爱情，并立树为志，一棵桃花树成了他们爱情的信物……,"生活,偶像,情感"
如果还有明天,出身在单亲家庭的陈步森有一个深爱他的女友刘春红和溺爱他的姐姐陈玲。偶然的机会，步森认识了精神失常的女人冷薇及其孩子和母亲，帮助这一家人让他感受到人间的真情和生活的美好，在协助冷薇的康复治疗过程中，逐渐与冷薇产生了异样的爱情。陈步森为了拯救身患绝症的冷薇，不惜付出生命的代价；陈玲为弟弟的婚事，与丈夫矛盾升级，最终走向离婚，当她重伤在床时，却收获了丈夫的温情；春红面对失去的感情，多番努力无果，绝望中到医院流产，放弃了与步森的孩子，并且铤而走险企图伤害冷薇，不料却误伤陈玲；面对深爱自己却又无法原谅的陈步森，冷薇只有选择离开。三个家庭，三段情感，最终因为真爱，所有的阴霾都逐渐消散，生活的阳光重新照耀到每个人的内心。,"情感,偶像"
我本英雄,长篇电视连续剧《我本英雄》秉承了周氏剧传统的大开大合、厚重凝炼的故事风格。故事人物延续了上一部电视剧《我主沉浮》的主要脉络，表现了我国改革开放进程中的深层次矛盾，惊心动魄又感人至深地讲述了一个大中国的英雄故事，在当代剧中第一次揭示了科学发展观的重大命题。剧作成功地塑造了赵安邦、裴一弘、石亚南、方正刚等一大批优秀共产党人形象。文山市委书记石亚南，市长方正刚为尽快摘掉经济欠发达的帽子，构筑了钢铁立市的宏伟目标。在为实现七百万吨钢铁产量而呕心沥血的过程中，他们没有接受省长赵安邦的严厉警告，追求GDP，追求高速度，做了许多违规违纪并违背经济规律的事情。当国家进行宏观调控时，文山钢铁基地陷入困境，经济全面停顿。投资钢铁项目的企业家吴亚洲自杀谢罪。尽管赵安邦、石亚南、方正刚挽救了经济败局，但仍没有改变被查处的命运。关键时刻，石亚南挺身而出，主动请辞，体现了共产党人高贵的人格力量。,"生活,偶像"
闪婚,闪婚是个现代名词，其形式虽不是现代固有，但多少有点贬意的成份，有拿婚姻当儿戏的意思，至少彼此了解的时间不够充分，这就难免潜在着各种隐患，似乎比其它的婚姻形式更具风险性。闪婚好似一场婚姻赌博，谁都希望赢定它，拥有一生的平安和幸福，可一旦落入情感陷井，又将如何面对……,"生活,情感,偶像"
战火西北狼,本剧的故事开始于我国抗战胜利初期，国民党晋西北的晋绥军蠢蠢欲动。其隔河相守的八路军某旅的狼队与之摩擦不断。随着战事升级，狼队掩护大部队跳出包围圈，随即跟随359旅转战到陕北。在陕北战场上，狼队展现出非凡的战斗才能和傲人的战术智慧。首长亲自授予他们“西北狼”的称号，让他们在西北战场狠咬“西北王”胡宗南。,"军旅,偶像"
迷情姐妹,昊天集团出现财务漏洞，800万巨款不翼而飞，与此同时，年轻貌美的财务部长林若子人身安全屡遭威胁，车胎被扎、光天化日之下被拦截抢劫，收到内含子弹的威胁信…… 　　谁是挪用巨款者？种种证据指向集团财务总监萧文慧。正在此时，一场车祸发生，林若子与萧文慧丈夫张总同遭厄运，张总当场死亡，林若子离奇失踪。萧文慧继承张总财产，入主昊天集团。 　　孪生姐姐林若楠偶然发现妹妹是有人蓄意陷害，以林若子身份进入昊天集团，试图调查真相，为妹妹讨回公道，却遭到萧文慧的百般刁难，幸好有昊天集团接班人陈天祺的呵护照顾。 　　一个名叫“赵南倩”的女人突然出现，彻底扰乱了林若楠的一切计划。完全陌生的面容却让人感到似曾相识，正邪难分、爱憎难辨却洞悉一切，她到底是谁？ 　　谜一般的纠葛中，掩饰自己真实身份的林若楠，也同时经受着三段情感磨难，陈天祺的真心追求，林若子男友黄立明不明真相的死缠烂打，前男友陆汇军的无聊搅合，都让寻求真相的道路变得困难重重。 　　究竟是谁导演了这一切？林若楠能否找出幕后黑手？赵楠倩能否带来事件转机？林家姐妹到底情归何处？职场战争烽烟再起，惊人秘密步步揭露，《迷情姐妹》，迷局即将展开……,"悬疑,生活,偶像,情感"
新还珠格格,清朝乾隆年间，美丽端庄的姑娘夏紫薇和丫环金锁从济南大明湖来至京城，因在大街拦截宗人府梁大人的轿乘而被殴打，正在市集卖艺的小燕子、柳家兄妹拔刀相助，由此和紫薇成为好友。在此之后，紫薇主仆与小燕子结伴卖艺，经历了无数次刺激的冒险，还结实洋人班杰明。随着友情的加深，紫薇向小燕子吐露了身世，原来她竟是当今圣上的亲生女儿。为了帮紫薇与父皇相认，小燕子鼎力相助，结果却阴差阳错进宫变成了还珠格格。调皮的小燕子、端庄的紫薇与严肃的宫廷生活格格不入，她们闹出了不少笑话，也惹了不少乱子，更结下诸多仇家。在此过程中，她们也收获着各自的爱情…… 　　本剧根据言情小说家琼瑶的同名原著改编，为10年前旧作的重拍版，分“燕儿翩翩飞”、“风儿阵阵吹”和“人儿何处归”三部。,"偶像,情感,古装"
佳期如梦 TV版,本剧女主角尤佳期，大名广告公司业务经理，在一次新车推荐会上猝不及防地与初恋男友孟和平重逢。尘封已久的心骤起波澜，两人都发现对方在自己心中依然占据最重要的位置。然而和平的母亲肖云是横亘在两人之间一道不可逾越的冰峰。就在和平要违背母亲意愿与佳期再续前缘的时候，他最好的朋友阮正东却对佳期发动猛烈的爱情攻势，但他的攻势后面却深藏不可告人的秘密和深远的计划。阮正东的妹妹西子是电视台知名主持人，对孟和平芳心暗许，势利的肖云也希望和平能娶西子为妻，但和平心有所属，视西子为妹妹，令西子惆怅不已。因为业务关联，佳期不知不觉中与东子联络增多。被西子与和平误认为已经相恋。孟和平无法解开佳期心锁，又担心东子伤害佳期的感情，情绪低落通宵买醉，误将探望的西子当做佳期......,"生活,偶像,情感"
家的N次方,中年女子文楠（宋丹丹 饰）是一个生活有着诸多坎坷的女人，她曾有过两次婚姻，如今将带着儿子楚牧（朱雨辰 饰）第三次走入婚姻的殿堂。这第三任丈夫薛茂祥（赵宝刚 饰）拥有自己的企业，家境富裕，身边也带着一个颇为纨绔的儿子薛洋（贺刚 饰）。楚牧因母亲再嫁的事情和女友赵雯（白百何 饰）发生了颇多的不快，而薛洋似乎也对父亲的再娶有着诸多不理解，这对异姓兄弟更是因性格和家境的差异彼此心生矛盾。在此期间，赵雯利欲熏心，打算抛弃楚牧倒追薛洋；薛茂祥的竞争对手则聘用了薛洋，企图以此达到击垮薛氏的目的；而文楠二次婚姻的女儿齐齐（王子文 饰）则突然出现，对异姓哥哥楚牧展开了热烈的追求。 　　若生活是一团乱麻，文楠的生活更是乱麻的N次方……,"生活,偶像"
犀利仁师 DVD版,为倡导男女平等，圣上推出女子入学政策，却遭到保守势力的暗中反对。为确保这一政策顺利推行，身为密探的江湖侠客柳傲天进入弘文学院，成为一名老师，在他的巧妙推动下，一批个性身份迥异的学生进入了弘文学院。多姿多彩的学校生活就此展开。因为阴错阳差，柳傲天与大龄剩女路云霏之间产生了误会，路云霏一路追来弘文学院，也成为了一名女老师。这对欢喜冤家在吵吵闹闹的同时，还解决学生的烦恼，培养学生成长。两人在患难之中渐生爱意，却不料另一名男老师聂文星意外搅入他们的爱情之中。保守势力暗中频频对弘文学院下手，危机之中，柳傲天运用他的智慧，带着老师和学生们见招拆招，更因此培养了学生们聪慧勇敢的个性。与此同时，柳傲天意外发现了弘文学院里竟然深藏着一只保守势力的黑手，为了揪出这只神秘黑手，柳傲天不顾安危，挺身迎战。,"喜剧,偶像,情感,古装"
犀利仁师 TV版,为倡导男女平等，圣上推出女子入学政策，却遭到保守势力的暗中反对。为确保这一政策顺利推行，身为密探的江湖侠客柳傲天进入弘文学院，成为一名老师，在他的巧妙推动下，一批个性身份迥异的学生进入了弘文学院。多姿多彩的学校生活就此展开。因为阴错阳差，柳傲天与大龄剩女路云霏之间产生了误会，路云霏一路追来弘文学院，也成为了一名女老师。这对欢喜冤家在吵吵闹闹的同时，还解决学生的烦恼，培养学生成长。两人在患难之中渐生爱意，却不料另一名男老师聂文星意外搅入他们的爱情之中。保守势力暗中频频对弘文学院下手，危机之中，柳傲天运用他的智慧，带着老师和学生们见招拆招，更因此培养了学生们聪慧勇敢的个性。与此同时，柳傲天意外发现了弘文学院里竟然深藏着一只保守势力的黑手，为了揪出这只神秘黑手，柳傲天不顾安危，挺身迎战。,"喜剧,偶像,情感,古装"
到爱的距离,在一个医院背景中，专业出类拔萃的外科医生李睿；行政管理手段另辟蹊径，引得漫天非议的青年院长凌远； 高傲暴躁其实内心苦闷的富商千金郁宁馨；冷静理智却过度压抑克制的医学生苏纯等，如何在现实的种种制约下，追求职业理想的故事。通过一个个有真实原型的病例，突出身为病患方对医疗方无可选择的依赖与渴求。,"生活,偶像"
丰顺儿,金朱成是一位聪明睿智的天才程序师，同时是开发机器人恋爱感情的BS项目组组长。他深爱着同组内美丽活泼、充满朝气的于奉顺。 　　怎料于奉顺其实是他当年制造出来的智能机器人，但其体内的基础系统和感情系统的冲突却使得于奉顺一旦爱上某人，系统就会切断电源。同时，BS项目的公开在即也将使得于奉顺这个早期智能机器人被升级版的智能人所淘汰，成为废弃品。而金朱成的阿尔茨海默症也在一天天地蚕食着他的健康。 　　金朱成和于奉顺不得不面对诸多的困难和障碍......,"奇幻,偶像,情感"
天道,丁元英的私募基金是一家以德国几家金融公司为资本委托方的边缘公司，在中国股市进行了11个月的掠夺式经营之后，作为一个中国人，他对掠夺式的股市操作心里不堪重负，充满了茅盾与无奈。他以“个人心理状态”为由中止了私墓基金的合作，他交代助理肖亚文，在北京附近的城市租一套房子，他要远离大都市的喧闹，找个僻静地方一个人清静一段时间。  　　肖亚文是个非常有头脑的白领女子，而她需要与丁元英保持一定联系。肖亚文认为丁元英有着与正常人完全颠倒的思维，认识他意味着将来可能的机会和帮助。肖亚文一天之内打飞机来往北京与德国之间，目的就是要嘱托正在法兰克福探望母亲的同窗好友——古城公安局刑警芮小丹照顾丁元英。芮小丹了解了肖亚文真正意图之后，答应了她的要求，却对这个从未见过面的男人有了一种先入为主的反感。  　　芮小丹很小的时候父母离异，母亲移民到德国，开了一家小餐馆。父亲是一名导演，长期居住在上海。芮小丹跟随母亲在德国念书，后来独自回到古城成为一名出色的刑警。,"犯罪,生活,偶像"
奔跑吧，玫瑰,该剧讲述的是一直在富裕家境里成长的女主人公，因爸爸的去世失去了一切，在新的艰难环境中再次重生的故事，在重生的过程中她与食品公司会长的孙子皇太子展开了一段浪漫的爱情之旅……,"生活,偶像,情感"
错嫁,电视剧《错嫁》讲述了一对同父异母的姐妹，爱上同一个男人，却在命运的捉弄下，先后错嫁给了又丑又坏的车夫，受尽磨难的故事，上演了一场爱恨交错，催人泪下的传奇爱情。,"生活,情感,偶像"
飞翔的梧桐子,江南小城，傍晚降下了秋雨，也降下了悲剧。 　　孟水芹被所在公司裁员，她情绪低落地回到家，等待下班回家的丈夫给她安慰，等待她的却是丈夫柳成遭遇车祸身亡、肇事者已逃离现场的事实。孟水芹顿时如五雷轰顶，当她悲痛地站在丈夫遗体前时，猛然意识到是否将这个噩耗告诉高考在即的女儿柳笛？柳笛与父亲感情笃深，学习成绩又十分优异，是学校往重点高校输送的对象。为了一位少女美好的明天，孟水芹决定与亲朋将真相隐藏起来，共同编织一个善意的谎言。 　　毕业于新闻系的吴桐，文字功底好，年轻气盛，怀有一番“以天下为己任”的抱负，被分在报社当记者。吴桐原以报道此事为工作任务，却被孟水芹的真情和用心良苦所感动，在校方的巧妙配合下，瞒住了品学兼优的柳笛。不想报社却报道出了事情的真相，吴桐因此愤然辞职。孟水芹为保护女儿的前途所付出的牺牲使吴桐很震动，他暗下决心要追查这个事件的全过程，并帮受害者找到逃逸的肇事者。对此柳笛深表感谢，两人互留网址。在同学廖凡的建议下，他在网上以柳笛的名义发出了公开信。不想，竟然得到了回复，肇事司机言称“逃跑是他必然的选择”。肇事司机的冷漠自然引来众多网民的怒斥。但是经查证，这个发出自白的“肇事司机”竟在东北，很可能并非真正的肇事者，可是，谁会开这样的玩笑呢？吴桐的朋友们对柳笛的遭遇也深感同情，尤其是齐文江，他对柳笛百般照顾，渐渐柳笛对他产生好感，可是齐文江却开始若即若离。 　　吴桐在朋友及家人的暗助下和他一直暗恋的女孩儿东方晓开办了自己的网站，网站经过一段时间的运转，发展的不尽人意，东方晓想尽办法帮助吴桐，两人的感情也逐渐暴露，由于东方晓远在美国已有男友，吴桐决定成全他们，自己却痛苦之及，可他不知道东方晓的爱情天秤早已向他倾斜。 　　吴桐与东方晓能否走到一起，姚远能不能醒来，柳笛的前途怎样，齐文江又做出了什么决定，那个在雨夜撞死柳笛父亲的肇事者又是谁，他们站在一个个十字路口，将来会是怎样？,"偶像,情感"
瘦身家族,6岁的唐满玉有将近200磅的体型，在电玩和网页设计方面堪称高手，由于肥胖被公司要求自我请辞，心灵备受打击。她带着家中两只肥狗“棉花糖”和“橡皮糖”外出散步，邂逅了刚搬进社区的董杰，对他的翩翩风度留下深刻印象。 　　满玉重新找到工作后，竟与董杰成为同事。但第一天上班却因为体型总引来同事们的侧目。满金(佟大为饰)是满玉的亲哥，身材一样笨重。一天起床后，不期而遇董杰的妹妹董华，从未谈过恋爱的满金对董华惊为天人，却被董华误解而招来一顿好打…… 　　满玉无意中听见董杰兄妹的对话，对自己的外型更加不自信。一日，满玉发现了公司正在研发的多媒体健身仪器，惊讶于自己如果瘦身之后的模样。基于同患难、共荣辱的想法，满玉把母亲和满金也一起邀来瘦身。 　　历经百般诱惑以及家人的鼓励陪伴，满玉、满金终于成功减肥，而他们的不屈不挠也使得他们得到了积压自所追求的生活和爱情…,"喜剧,偶像,情感"
铁马战车,杜卓峰是东九龙交通部执法及管制组的督察，平日带领苏珊、汪大洋等下属，驾着电单车在路上巡逻，随时检控超速车辆，维持交通治安。 　　原属警察关系科的警员贝心柔被调到杜卓峰麾下，冷若霜雪的杜卓峰对下属向来严厉、不苟言笑，贝心柔当然也逃不过杜卓峰的恶言斥责，可是干劲冲天的她没有介意，更经常向杜卓峰讨教，二人就这样建立起情如父女的微妙关系。 　　杜卓峰的冷酷令同事不敢靠近，就连家人也无法忍受他严厉、固执的性格，其妻李淑桦和儿子甚至故意疏离他，令他的家庭生活走向破碎边缘……,"犯罪,情感,偶像"
大唐双龙传之长生诀,隋朝末年，扬州城里生活着两个小混混寇仲和徐子陵，寇仲为人机灵多计、重情重义、雄心壮志、不甘平凡；徐子陵则为人忠厚纯朴、感性细腻、甘于淡泊。两人是一对生死不离的好兄弟，自称“扬州双龙”。他们无意间偷了杨广想得到的《长生诀》，遭到宇文化及的追杀。两兄弟被高丽女傅君婥所救。为救两兄弟，傅君婥被宇文化及打死，两兄弟发誓要找宇文化及报仇，并在无心下练就《长生诀》武功。在走向宇文化及复仇的路上，他们被宇文化及、韩盖天、李密等众多高手和海沙帮、阴癸派等势力追杀，也结识了李靖、跋锋寒、侯希白等好友，并受到江淮军统帅杜伏威、太原李世民等势力的招揽。而这一切，都是那本千古奇书《长生诀》带给他们的。在被不断的追杀中，双龙终于从扬州混混成长为武林高手。,"古装,偶像"
贤妻良母,《贤妻良母》描写普通大家庭的平凡生活，两家两代人在不同时代、不同命运下的喜怒哀乐，全景式地呈现我国普通家庭人生价值观、道德观的蜕变与发展。《贤妻良母》塑造的是“宛如身边人”的角色形象。剧本的灵感都是从生活中得来，很多细节来源都是于正的街坊邻居。除了笑中带泪的精彩剧情吸引观众，强大的演员班底也能抓住观众的目光。参与《贤妻良母》创作的演员称此剧为精致的剧本和精良的制作。细腻的感情线索贯穿始终，老中青三代强大的演员阵容令人震撼。剧中饰演长辈的郑佩佩、萨日娜、午马、岳跃利等，中生代的白珊、张彤、戴春荣、李菁菁等，新生代的何晟铭、霍思燕、赵琳、李倩、于小伟、周牧茵、曹曦文等演员都为剧增色不少。,"生活,情感,偶像"
悠悠寸草心 第二部,"该剧主要围绕曹家、林家第二代展开故事：玉辉与婷婷、家欣与建良、文惠与家望的情感故事起伏跌宕，期间变故出人意外,又入人意之中；金凤与翠娥为儿女的情事、生存倾尽母爱，倍受煎熬，而东生的死而复生对所有亲人无异是一个晴天霹雳…… 　　在田家的安排下，曹家望调进省城，当上了某医院的内科主任，举家搬迁到省城。玉辉得益婷婷父亲的帮助，在省城的开发区做工，金凤也随玉辉搬迁到开发区居住。 　　金凤为翠娥举办寿宴，不料横生枝节，工人肇事将玉辉、婷婷扣押…… 　　黎家生意倒闭，家境陡然跌入深渊，黎父到南方治病，玉辉受黎父之托，精心照料婷婷并相爱，而暗恋着玉辉的家欣则陷入痛苦之中不可自拔，最后下嫁张建良。 　　曹家望与田文惠婚后，依然为了翠娥的安置不断发生龃龉。先是哄骗翠娥进精神病院，后来在淑霞的怂恿下，将翠娥送到乡下树根家，树根待翠娥如同畜生，成天用狗链子将翠娥锁住…… 　　张建良知道家欣暗恋玉辉，则对家欣百般折磨虐待；玉辉得知家欣是为自己而被迫下嫁建良，内心痛苦可又无奈。 　　家望假意孝敬后母金凤，博取了“十佳青年”的虚名。武雄得知，愤而动手打了家望；文惠生下孩子贤贤，淑霞喂养孩子不得法，致使贤贤因牛奶呛着造成智障；淑霞嫁祸金凤，逼迫金凤出走。 　　金凤受辱，金泉与姐姐一道流浪，为救助患眼疾的姐姐，金泉在外打工，累得吐血……","生活,情感,偶像"
离你有多远,王芬平静的生活被女儿李琳的到来打破了。对母亲敌视的李琳一心想独立生活，离开家。她意外认识了建筑师张建国，并开始了对这个大自己二十岁的成功男人的盲目追求。为了不让张建国为其女友举办画展，李琳和罗隐闯入画室进行破坏，被保安发现，慌乱中罗隐刺伤了保安，两个年轻人吓坏了，为了逃避责任，躲到外地。在王芬和张建国的艰辛寻找和启发教育下，两个孩子终于同意自首。经过了解和相处，张建国和王芬之间互生好感，在好友向梅和女儿的热心撮合下，两个人终于走到一起。,"情感,偶像"
花自飘零,江南大学艺术系三年级学生文潇雨是个清丽脱俗，多才多艺的女孩。父亲文景山得了尿毒症，为了给父亲治病，只好被相恋的同学罗晓明误解，离开大学，来到月亮宫娱乐中心打工。 　　她美妙的歌声，出众的品貌和才华，吸引了众多捧场的男人。江东市赫赫有名的亿万富翁样志鸣、大老板李海文、珠宝富商秦勉、毫侠仗义的个体老板魏刚…… 　　他们围绕着文潇雨、娱乐中心老板何伟和情妇——文的中学同学陈丹莉，服务员世间“冰美人”林芳，演绎了市场经济的大潮中当代都市各色人等的心路历程，观念砥砺及命运交易，李海文爱上了林芳并生了个儿子，杨志鸣通过文潇雨的小学老师沈静知道自己是文潇雨的生父，而采取措施不让别的男人接近文潇雨，并采取种种手段对接近文的男人予以打击。罗晓明为了给文父治病不惜卖身一位富婆并拿到了订金，而文潇雨爱上了外表丑陋而内心善良的魏刚，但魏刚始终不接受文潇雨的爱。何伟破产了，陈丹莉吸毒赌博并出于嫉妒毁了文潇雨的容……　,"生活,情感,偶像"
幸福你就拍拍手,聂海风和未婚妻周莹雪筹备婚礼之际，前妻安佳宁忽然从国外回来，还带回五岁的儿子涛涛，开口就让他叫海风爸爸，并且强行住进了新房。  　　莹雪一气之下要跟海风分手，还赌气跑到了竞争对手的公司工作，没想到却遇到曾经产生过误会的顶头上司马强。不过，经过一些事情，二人逐渐消除误会，并成为朋友。  　　佳宁想尽一切办法，试图使海风回心转意，并希望父子相认，却徒劳无功。于是，她背着海风带涛涛主动去看海风的父母老聂秦芳，想从老人身上找突破口。海风得知后，和佳宁大吵起来。佳宁脱口说出涛涛的父亲三年前就死了。现在涛涛得了绝症，只能活两个月。海风被触动。莹雪了解了情况，大度地支持海风好好关心照顾涛涛。  　　海风的父母也牵挂涛涛的病，在瞒着佳宁送涛涛去医院就医的时候，佳宁的谎言拆穿了。海风得知了一个好消息和一个坏消息，好的是涛涛没得绝症，坏的是，涛涛确实是海风的亲生儿子，海风傻眼了。  　　莹雪的弟弟替姐姐打抱不平，搬了行李拉上莹雪，硬挤进新房，要跟佳宁母子一绝高下，海风夹在中间左右为难。莹雪父母知道后，把莹雪姐弟带回老家，还给海风下了“最后通谍”。等海风追到周家，莹雪已经被马强“营救”走了。  　　秦芳想撺腾海风跟佳宁复婚。可此时，佳宁却改了主意，她答应把涛涛给海风，但条件是海风将来的妻子、涛涛未来的妈妈必须由她来定。海风只得去相亲，却遇到跟踪而至的莹雪，二人大吵一架，宣布分手。,"生活,情感,偶像"
